Fecha;Demanda (MW)
2007-01-14 00;31077.33
2007-01-14 01;28384.66
2007-01-14 02;26081.83
2007-01-14 03;24358.33
2007-01-14 04;23330.66
2007-01-14 05;22677.16
2007-01-14 06;22369.5
2007-01-14 07;21940.66
2007-01-14 08;22379.5
2007-01-14 09;23741.5
2007-01-14 10;26043.66
2007-01-14 11;27379.33
2007-01-14 12;27814.66
2007-01-14 13;28175.5
2007-01-14 14;28246.0
2007-01-14 15;27419.33
2007-01-14 16;26874.83
2007-01-14 17;26994.16
2007-01-14 18;30084.5
2007-01-14 19;32266.0
2007-01-14 20;33402.16
2007-01-14 21;33877.66
2007-01-14 22;32610.83
2007-01-14 23;32219.66
2007-01-15 00;29488.0
2007-01-15 01;26831.0
2007-01-15 02;25239.0
2007-01-15 03;24214.5
2007-01-15 04;23775.33
2007-01-15 05;23742.16
2007-01-15 06;26629.83
2007-01-15 07;30935.33
2007-01-15 08;35906.5
2007-01-15 09;37146.66
2007-01-15 10;38596.83
2007-01-15 11;38911.0
2007-01-15 12;38479.5
2007-01-15 13;37807.83
2007-01-15 14;36095.5
2007-01-15 15;35893.83
2007-01-15 16;36145.5
2007-01-15 17;36744.33
2007-01-15 18;39110.0
2007-01-15 19;40150.66
2007-01-15 20;39725.5
2007-01-15 21;38654.83
2007-01-15 22;36098.5
2007-01-15 23;34893.16
2007-01-16 00;32005.5
2007-01-16 01;29600.0
2007-01-16 02;27672.0
2007-01-16 03;26797.66
2007-01-16 04;26050.66
2007-01-16 05;26045.5
2007-01-16 06;28073.16
2007-01-16 07;32260.66
2007-01-16 08;36446.16
2007-01-16 09;37361.83
2007-01-16 10;38469.16
2007-01-16 11;38719.83
2007-01-16 12;38443.83
2007-01-16 13;37579.0
2007-01-16 14;35721.16
2007-01-16 15;35609.66
2007-01-16 16;35678.83
2007-01-16 17;36218.0
2007-01-16 18;38802.66
2007-01-16 19;39968.83
2007-01-16 20;39648.0
2007-01-16 21;38765.83
2007-01-16 22;36305.16
2007-01-16 23;35344.5
2007-01-17 00;32324.66
2007-01-17 01;29570.33
2007-01-17 02;27706.5
2007-01-17 03;26679.33
2007-01-17 04;26137.0
2007-01-17 05;26292.0
2007-01-17 06;28248.66
2007-01-17 07;32264.5
2007-01-17 08;36544.83
2007-01-17 09;37432.66
2007-01-17 10;38681.33
2007-01-17 11;38650.33
2007-01-17 12;38143.66
2007-01-17 13;37052.83
2007-01-17 14;35047.5
2007-01-17 15;34794.0
2007-01-17 16;34926.16
2007-01-17 17;35671.0
2007-01-17 18;38183.66
2007-01-17 19;39623.66
2007-01-17 20;39320.66
2007-01-17 21;38582.0
2007-01-17 22;36289.66
2007-01-17 23;35221.0
2007-01-18 00;32194.83
2007-01-18 01;29507.33
2007-01-18 02;27753.0
2007-01-18 03;26642.0
2007-01-18 04;25903.5
2007-01-18 05;25918.83
2007-01-18 06;27964.33
2007-01-18 07;32037.66
2007-01-18 08;36447.33
2007-01-18 09;36976.33
2007-01-18 10;38249.33
2007-01-18 11;38328.33
2007-01-18 12;37738.66
2007-01-18 13;36700.33
2007-01-18 14;34736.83
2007-01-18 15;34621.5
2007-01-18 16;34706.66
2007-01-18 17;35369.33
2007-01-18 18;37934.5
2007-01-18 19;39400.33
2007-01-18 20;39304.5
2007-01-18 21;38509.5
2007-01-18 22;36135.66
2007-01-18 23;35405.83
2007-01-19 00;32592.66
2007-01-19 01;29752.5
2007-01-19 02;27889.0
2007-01-19 03;26866.0
2007-01-19 04;26085.16
2007-01-19 05;25928.16
2007-01-19 06;27896.5
2007-01-19 07;31932.83
2007-01-19 08;36004.66
2007-01-19 09;36569.16
2007-01-19 10;37306.33
2007-01-19 11;37231.5
2007-01-19 12;36602.0
2007-01-19 13;35754.66
2007-01-19 14;33862.16
2007-01-19 15;33095.16
2007-01-19 16;32882.66
2007-01-19 17;33210.5
2007-01-19 18;35493.0
2007-01-19 19;37132.83
2007-01-19 20;36702.83
2007-01-19 21;35982.0
2007-01-19 22;34092.83
2007-01-19 23;34146.5
2007-01-20 00;32250.0
2007-01-20 01;29517.0
2007-01-20 02;27323.83
2007-01-20 03;25880.83
2007-01-20 04;24884.5
2007-01-20 05;24202.5
2007-01-20 06;24176.33
2007-01-20 07;24752.83
2007-01-20 08;26365.33
2007-01-20 09;28428.5
2007-01-20 10;30966.16
2007-01-20 11;31388.16
2007-01-20 12;31078.33
2007-01-20 13;30578.0
2007-01-20 14;29341.66
2007-01-20 15;28288.83
2007-01-20 16;27653.33
2007-01-20 17;27717.0
2007-01-20 18;30329.0
2007-01-20 19;32554.16
2007-01-20 20;33311.5
2007-01-20 21;33181.16
2007-01-20 22;31644.5
2007-01-20 23;31929.5
2007-01-21 00;30116.66
2007-01-21 01;27501.66
2007-01-21 02;25287.66
2007-01-21 03;23876.83
2007-01-21 04;22784.5
2007-01-21 05;22323.83
2007-01-21 06;22207.66
2007-01-21 07;21701.66
2007-01-21 08;21920.66
2007-01-21 09;23223.16
2007-01-21 10;25477.0
2007-01-21 11;26758.66
2007-01-21 12;26842.0
2007-01-21 13;27135.66
2007-01-21 14;26891.33
2007-01-21 15;26129.5
2007-01-21 16;25691.83
2007-01-21 17;25670.0
2007-01-21 18;28506.83
2007-01-21 19;31180.33
2007-01-21 20;32355.5
2007-01-21 21;32849.83
2007-01-21 22;31715.66
2007-01-21 23;31445.66
2007-01-22 00;28874.0
2007-01-22 01;26376.0
2007-01-22 02;24751.83
2007-01-22 03;23870.0
2007-01-22 04;23284.83
2007-01-22 05;23575.16
2007-01-22 06;26196.33
2007-01-22 07;30298.5
2007-01-22 08;35014.16
2007-01-22 09;36361.5
2007-01-22 10;37680.0
2007-01-22 11;38004.66
2007-01-22 12;38057.5
2007-01-22 13;37463.66
2007-01-22 14;35546.66
2007-01-22 15;35316.83
2007-01-22 16;35548.5
2007-01-22 17;36077.16
2007-01-22 18;38217.66
2007-01-22 19;39523.5
2007-01-22 20;39205.0
2007-01-22 21;38143.0
2007-01-22 22;35309.5
2007-01-22 23;34258.5
2007-01-23 00;31503.0
2007-01-23 01;28807.0
2007-01-23 02;27108.83
2007-01-23 03;26313.33
2007-01-23 04;25775.0
2007-01-23 05;25660.33
2007-01-23 06;27789.0
2007-01-23 07;31786.5
2007-01-23 08;36117.5
2007-01-23 09;37465.66
2007-01-23 10;38944.83
2007-01-23 11;39017.5
2007-01-23 12;38663.83
2007-01-23 13;37860.0
2007-01-23 14;35885.83
2007-01-23 15;35786.5
2007-01-23 16;36097.0
2007-01-23 17;36635.33
2007-01-23 18;38922.33
2007-01-23 19;40618.83
2007-01-23 20;40331.0
2007-01-23 21;39416.83
2007-01-23 22;36617.83
2007-01-23 23;35735.33
2007-01-24 00;32930.0
2007-01-24 01;29792.66
2007-01-24 02;27958.83
2007-01-24 03;27131.5
2007-01-24 04;26629.83
2007-01-24 05;26509.66
2007-01-24 06;28499.0
2007-01-24 07;32484.5
2007-01-24 08;37100.5
2007-01-24 09;38355.66
2007-01-24 10;39797.33
2007-01-24 11;39806.5
2007-01-24 12;39613.66
2007-01-24 13;38677.83
2007-01-24 14;36725.16
2007-01-24 15;36491.5
2007-01-24 16;36597.5
2007-01-24 17;37511.66
2007-01-24 18;39956.16
2007-01-24 19;41879.0
2007-01-24 20;41482.33
2007-01-24 21;40358.5
2007-01-24 22;37455.5
2007-01-24 23;36347.16
2007-01-25 00;33087.5
2007-01-25 01;30149.0
2007-01-25 02;28403.33
2007-01-25 03;27414.33
2007-01-25 04;26685.16
2007-01-25 05;26658.83
2007-01-25 06;28884.33
2007-01-25 07;32848.66
2007-01-25 08;37553.5
2007-01-25 09;39068.16
2007-01-25 10;40767.83
2007-01-25 11;41313.66
2007-01-25 12;41651.66
2007-01-25 13;41171.66
2007-01-25 14;39046.66
2007-01-25 15;39033.0
2007-01-25 16;39314.66
2007-01-25 17;39929.33
2007-01-25 18;41763.33
2007-01-25 19;43184.16
2007-01-25 20;42545.5
2007-01-25 21;41377.66
2007-01-25 22;38418.5
2007-01-25 23;37019.33
2007-01-26 00;33847.33
2007-01-26 01;30734.83
2007-01-26 02;28792.0
2007-01-26 03;27777.0
2007-01-26 04;27304.5
2007-01-26 05;27093.66
2007-01-26 06;28933.66
2007-01-26 07;32933.16
2007-01-26 08;37474.66
2007-01-26 09;39425.66
2007-01-26 10;41296.66
2007-01-26 11;41856.16
2007-01-26 12;42042.33
2007-01-26 13;41510.83
2007-01-26 14;39165.83
2007-01-26 15;38846.66
2007-01-26 16;38496.33
2007-01-26 17;39388.16
2007-01-26 18;41220.66
2007-01-26 19;42680.5
2007-01-26 20;41891.83
2007-01-26 21;40884.16
2007-01-26 22;38644.5
2007-01-26 23;38262.16
2007-01-27 00;35855.0
2007-01-27 01;32294.0
2007-01-27 02;29527.83
2007-01-27 03;28228.16
2007-01-27 04;27258.83
2007-01-27 05;26466.5
2007-01-27 06;26160.0
2007-01-27 07;26276.33
2007-01-27 08;28028.66
2007-01-27 09;30979.66
2007-01-27 10;34328.66
2007-01-27 11;35514.83
2007-01-27 12;35466.0
2007-01-27 13;34990.83
2007-01-27 14;33639.5
2007-01-27 15;32630.33
2007-01-27 16;31870.5
2007-01-27 17;31893.5
2007-01-27 18;34252.0
2007-01-27 19;36678.16
2007-01-27 20;37360.5
2007-01-27 21;37343.66
2007-01-27 22;35573.0
2007-01-27 23;35618.83
2007-01-28 00;33309.33
